Date,open,high,low,close,adjclose,volume,ingested_at_utc
15-10-2020,177000,178500,175000,176000,141066.3125,1587551,2026-02-19 06:47:45.287325+00:00
16-10-2020,176500,177500,169000,172000,137860.2813,3197258,2026-02-19 06:47:45.287325+00:00
19-10-2020,169500,172000,167500,168000,134654.2031,2230634,2026-02-19 06:47:45.287325+00:00
20-10-2020,157000,168500,156500,167500,134253.5,5697398,2026-02-19 06:47:45.287325+00:00
21-10-2020,167000,167500,163500,165500,132650.4375,1760669,2026-02-19 06:47:45.287325+00:00
22-10-2020,163000,163500,161000,162500,130245.8906,1700524,2026-02-19 06:47:45.287325+00:00
23-10-2020,163500,168000,163000,167000,133852.6875,1883932,2026-02-19 06:47:45.287325+00:00
26-10-2020,167000,174000,164000,171500,137459.5156,3018359,2026-02-19 06:47:45.287325+00:00
27-10-2020,173000,178000,171000,172500,138261.0313,3317704,2026-02-19 06:47:45.287325+00:00
28-10-2020,172000,174000,169500,173500,139062.5313,1419988,2026-02-19 06:47:45.287325+00:00
29-10-2020,169000,171000,168000,170000,136257.25,1484537,2026-02-19 06:47:45.287325+00:00
30-10-2020,169000,169500,164500,164500,131848.9219,1452259,2026-02-19 06:47:45.287325+00:00
02-11-2020,166000,170500,166000,170500,136658.0156,1052301,2026-02-19 06:47:45.287325+00:00
03-11-2020,171000,172000,169000,170500,136658.0156,1006364,2026-02-19 06:47:45.287325+00:00
04-11-2020,173000,175000,170500,171500,137459.5156,1699252,2026-02-19 06:47:45.287325+00:00
05-11-2020,173500,175000,172500,175000,140264.8281,1299430,2026-02-19 06:47:45.287325+00:00
06-11-2020,176500,177000,169500,170500,136658.0156,2233192,2026-02-19 06:47:45.287325+00:00
09-11-2020,172500,174500,172000,172500,138261.0313,1521010,2026-02-19 06:47:45.287325+00:00
10-11-2020,174500,174500,172000,173500,139062.5313,1796342,2026-02-19 06:47:45.287325+00:00
11-11-2020,174500,179000,173000,175500,140665.5469,4140745,2026-02-19 06:47:45.287325+00:00
12-11-2020,175500,177000,173000,174000,139463.3125,1965154,2026-02-19 06:47:45.287325+00:00
13-11-2020,174000,178500,173500,177500,142268.5781,2405777,2026-02-19 06:47:45.287325+00:00
16-11-2020,182500,183500,177500,179000,143470.875,2752922,2026-02-19 06:47:45.287325+00:00
17-11-2020,179500,185000,178000,182500,146276.1563,3429139,2026-02-19 06:47:45.287325+00:00
18-11-2020,183500,185500,179000,179500,143871.625,2228657,2026-02-19 06:47:45.287325+00:00
19-11-2020,179000,181500,177500,180000,144272.3438,1379907,2026-02-19 06:47:45.287325+00:00
20-11-2020,179000,179500,177000,177000,141867.8594,1309560,2026-02-19 06:47:45.287325+00:00
23-11-2020,175000,179500,175000,179000,143470.875,1494870,2026-02-19 06:47:45.287325+00:00
24-11-2020,181000,183000,179500,181000,145073.8906,1522580,2026-02-19 06:47:45.287325+00:00
